,date,precipitation
0,19810101,1.67
1,19810102,0.55
2,19810103,0.92
3,19810104,0.44
4,19810105,0.35
5,19810106,0.43
6,19810107,0.63
7,19810108,3.78
8,19810109,5.04
9,19810110,1.06
10,19810111,0.64
11,19810112,0.26
12,19810113,0.65
13,19810114,1.1
14,19810115,0.59
15,19810116,0.83
16,19810117,0.9
17,19810118,0.89
18,19810119,0.39
19,19810120,3.39
20,19810121,1.44
21,19810122,2.9
22,19810123,8.79
23,19810124,1.04
24,19810125,0.83
25,19810126,1.64
26,19810127,1.85
27,19810128,0.65
28,19810129,0.43
29,19810130,0.43
30,19810131,1.46
31,19810201,9.9
32,19810202,0.85
33,19810203,3.41
34,19810204,0.79
35,19810205,0.67
36,19810206,3.01
37,19810207,8.46
38,19810208,12.91
39,19810209,7.97
40,19810210,5.5
41,19810211,0.46
42,19810212,0.53
43,19810213,1.2
44,19810214,1.51
45,19810215,0.58
46,19810216,5.01
47,19810217,1.57
48,19810218,1.58
49,19810219,2.27
50,19810220,2.06
51,19810221,9.76
52,19810222,1.32
53,19810223,1.4
54,19810224,0.62
55,19810225,0.44
56,19810226,5.21
57,19810227,0.49
58,19810228,1.0
59,19810301,0.68
60,19810302,0.46
61,19810303,0.39
62,19810304,0.59
63,19810305,1.36
64,19810306,2.39
65,19810307,5.42
66,19810308,5.38
67,19810309,1.92
68,19810310,1.7
69,19810311,2.12
70,19810312,3.29
71,19810313,1.17
72,19810314,0.77
73,19810315,0.63
74,19810316,0.77
75,19810317,0.74
76,19810318,0.79
77,19810319,1.14
78,19810320,0.81
79,19810321,0.84
80,19810322,0.68
81,19810323,0.57
82,19810324,0.28
83,19810325,0.26
84,19810326,0.42
85,19810327,0.07
86,19810328,1.07
87,19810329,6.5
88,19810330,0.22
89,19810331,0.13
90,19810401,0.81
91,19810402,0.59
92,19810403,0.9
93,19810404,3.44
94,19810405,12.85
95,19810406,1.69
96,19810407,0.24
97,19810408,0.42
98,19810409,3.51
99,19810410,3.0
100,19810411,0.16
101,19810412,0.58
102,19810413,0.61
103,19810414,0.19
104,19810415,0.15
105,19810416,1.78
106,19810417,1.73
107,19810418,0.28
108,19810419,0.38
109,19810420,0.69
110,19810421,0.53
111,19810422,1.0
112,19810423,0.81
113,19810424,0.39
114,19810425,0.92
115,19810426,0.64
116,19810427,0.38
117,19810428,0.38
118,19810429,0.52
119,19810430,0.46
120,19810501,0.3
121,19810502,0.8
122,19810503,3.69
123,19810504,0.89
124,19810505,0.55
125,19810506,0.33
126,19810507,0.32
127,19810508,0.07
128,19810509,0.44
129,19810510,0.69
130,19810511,0.17
131,19810512,1.35
132,19810513,0.7
133,19810514,0.05
134,19810515,2.79
135,19810516,2.99
136,19810517,0.21
137,19810518,0.1
138,19810519,0.05
139,19810520,3.41
140,19810521,2.45
141,19810522,3.55
142,19810523,0.06
143,19810524,0.15
144,19810525,0.47
145,19810526,0.06
146,19810527,0.03
147,19810528,0.19
148,19810529,0.3
149,19810530,2.31
150,19810531,0.38
151,19810601,0.11
152,19810602,0.51
153,19810603,2.05
154,19810604,1.19
155,19810605,2.09
156,19810606,4.85
157,19810607,3.49
158,19810608,1.98
159,19810609,4.23
160,19810610,3.56
161,19810611,25.65
162,19810612,1.85
163,19810613,6.89
164,19810614,2.14
165,19810615,5.45
166,19810616,10.88
167,19810617,1.67
168,19810618,0.27
169,19810619,0.6
170,19810620,0.42
171,19810621,0.16
172,19810622,0.52
173,19810623,0.07
174,19810624,0.47
175,19810625,1.05
176,19810626,0.01
177,19810627,0.02
178,19810628,0.03
179,19810629,0.53
180,19810630,0.21
181,19810701,0.01
182,19810702,0.01
183,19810703,0.01
184,19810704,0.19
185,19810705,5.83
186,19810706,4.91
187,19810707,0.02
188,19810708,0.19
189,19810709,0.21
190,19810710,1.94
191,19810711,1.74
192,19810712,3.34
193,19810713,1.08
194,19810714,0.13
195,19810715,0.52
196,19810716,0.26
197,19810717,0.58
198,19810718,0.07
199,19810719,0.13
200,19810720,0.24
201,19810721,0.43
202,19810722,0.48
203,19810723,0.02
204,19810724,19.67
205,19810725,0.14
206,19810726,0.96
207,19810727,2.21
208,19810728,9.06
209,19810729,0.3
210,19810730,0.58
211,19810731,0.34
212,19810801,0.1
213,19810802,0.65
214,19810803,1.01
215,19810804,13.29
216,19810805,2.62
217,19810806,0.42
218,19810807,0.18
219,19810808,0.03
220,19810809,0.23
221,19810810,1.28
222,19810811,0.4
223,19810812,0.52
224,19810813,5.66
225,19810814,0.4
226,19810815,0.29
227,19810816,1.41
228,19810817,0.1
229,19810818,0.07
230,19810819,0.02
231,19810820,0.1
232,19810821,0.01
233,19810822,0.01
234,19810823,0.21
235,19810824,0.29
236,19810825,0.57
237,19810826,0.61
238,19810827,0.13
239,19810828,1.12
240,19810829,0.74
241,19810830,9.86
242,19810831,3.05
243,19810901,0.7
244,19810902,1.43
245,19810903,1.67
246,19810904,2.7
247,19810905,11.07
248,19810906,6.03
249,19810907,5.66
250,19810908,2.08
251,19810909,2.81
252,19810910,1.83
253,19810911,1.46
254,19810912,0.89
255,19810913,0.82
256,19810914,0.21
257,19810915,0.25
258,19810916,0.79
259,19810917,0.24
260,19810918,3.75
261,19810919,16.33
262,19810920,1.49
263,19810921,0.45
264,19810922,8.75
265,19810923,2.5
266,19810924,3.8
267,19810925,0.75
268,19810926,7.44
269,19810927,0.29
270,19810928,0.25
271,19810929,0.27
272,19810930,0.58
273,19811001,0.3
