,year,total_renewable_energy(%),Country_code,country,is_aggregate
3,1990,7.55675254664473,ARB,Arab World,True
5,1990,16.2307467057101,CSS,Caribbean small states,True
10,1990,4.14436894083537,CEB,Central Europe and the Baltics,True
18,1990,6.54677558470735,EMU,Euro area,True
19,1990,6.91190899395663,EUU,European Union,True
20,1990,55.6363722930754,SAS,South Asia,True
21,1990,70.7330176960293,SSA,Sub-Saharan Africa (excluding high income),True
29,1990,32.7383925622165,LAC,Latin America & Caribbean (excluding high income),True
31,1990,4.07940913140557,TEC,Europe & Central Asia (IDA & IBRD countries),True
41,1990,85.7574669598202,HPC,Heavily indebted poor countries (HIPC),True
53,1990,34.395616925265,LMY,Low & middle income,True
54,1990,70.7235942692161,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
56,1990,16.6761728451138,WLD,World,True
68,1990,78.2040910575174,PRE,Pre-demographic dividend,True
70,1990,70.7235942692161,SSF,Sub-Saharan Africa,True
72,1990,55.6363722930754,TSA,South Asia (IDA & IBRD),True
73,1990,4.62898692234037,ECA,Europe & Central Asia (excluding high income),True
75,1990,5.72169750149769,ECS,Europe & Central Asia,True
99,1990,6.33660305156423,PST,Post-demographic dividend,True
101,1990,23.6492794434322,SST,Small states,True
109,1990,32.5735739750446,LCN,Latin America & Caribbean,True
116,1990,85.793807160207,LDC,Least developed countries: UN classification,True
117,1990,11.556549657066,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
119,1990,37.8155943433848,TEA,East Asia & Pacific (IDA & IBRD countries),True
129,1990,59.1838307141746,IDB,IDA blend,True
130,1990,26.7903199833955,IBT,IDA & IBRD total,True
136,1990,7.21226230470798,OED,OECD members,True
139,1990,52.8208333333333,PSS,Pacific island small states,True
142,1990,32.3678811846524,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
164,1990,36.7837303328156,EAP,East Asia & Pacific (excluding high income),True
166,1990,16.0143287945227,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
168,1990,33.198040919323,MIC,Middle income,True
169,1990,23.8860747877954,OSS,Other small states,True
171,1990,21.9684140890226,IBD,IBRD only,True
176,1990,66.9784484359233,IDA,IDA total,True
178,1990,75.3831138327321,IDX,IDA only,True
196,1990,6.2019882430542,NAC,North America,True
198,1990,26.4207512678972,EAS,East Asia & Pacific,True
208,1990,34.8003445736919,EAR,Early-demographic dividend,True
220,1990,19.5350713817325,LTE,Late-demographic dividend,True
222,1990,60.842404289004,AFE,Africa Eastern and Southern,True
231,1990,85.8954421148587,AFW,Africa Western and Central,True
235,1990,15.9971455903228,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
247,1991,7.48136495064073,ARB,Arab World,True
249,1991,4.80614884330527,CEB,Central Europe and the Baltics,True
251,1991,12.3785656728445,CSS,Caribbean small states,True
252,1991,62.1332952333327,AFE,Africa Eastern and Southern,True
263,1991,31.9844254750594,LCN,Latin America & Caribbean,True
265,1991,19.7148822804113,LTE,Late-demographic dividend,True
269,1991,32.0195301784624,LAC,Latin America & Caribbean (excluding high income),True
284,1991,22.1175831024664,IBD,IBRD only,True
292,1991,67.2593276590339,IDA,IDA total,True
294,1991,76.0124927213137,IDX,IDA only,True
302,1991,31.7032170833947,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
310,1991,59.2684634194499,IDB,IDA blend,True
312,1991,27.0017754178464,IBT,IDA & IBRD total,True
319,1991,86.173870947592,LDC,Least developed countries: UN classification,True
328,1991,16.8275092292776,WLD,World,True
347,1991,34.1622186553086,LMY,Low & middle income,True
349,1991,71.4000074927214,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
357,1991,86.6644305065344,HPC,Heavily indebted poor countries (HIPC),True
371,1991,71.4109111541714,SSA,Sub-Saharan Africa (excluding high income),True
374,1991,7.19534425402431,EUU,European Union,True
376,1991,4.19075813980973,TEC,Europe & Central Asia (IDA & IBRD countries),True
389,1991,71.4000074927214,SSF,Sub-Saharan Africa,True
391,1991,54.6966064824886,TSA,South Asia (IDA & IBRD),True
392,1991,4.67357209962229,ECA,Europe & Central Asia (excluding high income),True
394,1991,5.87264894965217,ECS,Europe & Central Asia,True
402,1991,11.336236970082,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
404,1991,6.49893579420106,PST,Post-demographic dividend,True
405,1991,54.6966064824886,SAS,South Asia,True
406,1991,22.5904537815126,SST,Small states,True
413,1991,6.84350211317404,EMU,Euro area,True
416,1991,79.6114488473848,PRE,Pre-demographic dividend,True
419,1991,37.0147968946071,TEA,East Asia & Pacific (IDA & IBRD countries),True
430,1991,7.33502705013867,OED,OECD members,True
433,1991,51.4216129032258,PSS,Pacific island small states,True
443,1991,15.736118285882,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
445,1991,32.91878643468,MIC,Middle income,True
446,1991,23.4395771766311,OSS,Other small states,True
448,1991,36.1127564548691,EAP,East Asia & Pacific (excluding high income),True
461,1991,15.7188806969523,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
462,1991,6.45852428000841,NAC,North America,True
464,1991,25.9863542513191,EAS,East Asia & Pacific,True
466,1991,34.3845948730723,EAR,Early-demographic dividend,True
474,1991,85.2620742165585,AFW,Africa Western and Central,True
490,1992,7.13008316970771,ARB,Arab World,True
492,1992,83.8183241751154,AFW,Africa Western and Central,True
497,1992,15.0807647123108,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
498,1992,6.71176059634845,NAC,North America,True
500,1992,15.0977315458187,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
502,1992,33.1993206265999,MIC,Middle income,True
503,1992,28.168347639485,OSS,Other small states,True
505,1992,7.4671506069542,OED,OECD members,True
508,1992,47.1143250688705,PSS,Pacific island small states,True
511,1992,77.7903871081782,PRE,Pre-demographic dividend,True
515,1992,10.897297140481,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
517,1992,6.63265059915931,PST,Post-demographic dividend,True
518,1992,54.1525020316944,SAS,South Asia,True
519,1992,25.8424070930013,SST,Small states,True
521,1992,72.052987934556,SSF,Sub-Saharan Africa,True
523,1992,54.1525020316944,TSA,South Asia (IDA & IBRD),True
525,1992,72.0638474417429,SSA,Sub-Saharan Africa (excluding high income),True
531,1992,34.5339321597175,LMY,Low & middle income,True
532,1992,72.052987934556,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
535,1992,17.1858871999502,WLD,World,True
545,1992,86.3259492641678,LDC,Least developed countries: UN classification,True
546,1992,31.3669679433488,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
557,1992,31.6961970158176,LAC,Latin America & Caribbean (excluding high income),True
571,1992,31.6994200114385,LCN,Latin America & Caribbean,True
573,1992,20.4372203034671,LTE,Late-demographic dividend,True
587,1992,22.7264611309833,IBD,IBRD only,True
588,1992,68.3437531466331,IDA,IDA total,True
590,1992,77.7057673476839,IDX,IDA only,True
605,1992,59.9077616761631,IDB,IDA blend,True
607,1992,27.7909190550675,IBT,IDA & IBRD total,True
634,1992,87.0333745710884,HPC,Heavily indebted poor countries (HIPC),True
647,1992,7.46780616301649,EUU,European Union,True
649,1992,4.48197474453354,TEC,Europe & Central Asia (IDA & IBRD countries),True
662,1992,5.2060411365564,ECA,Europe & Central Asia (excluding high income),True
664,1992,6.223148349601,ECS,Europe & Central Asia,True
678,1992,6.8962603947921,EMU,Euro area,True
679,1992,36.5601561798501,TEA,East Asia & Pacific (IDA & IBRD countries),True
698,1992,35.7775078548785,EAP,East Asia & Pacific (excluding high income),True
710,1992,25.572050365807,EAS,East Asia & Pacific,True
712,1992,34.2391135694075,EAR,Early-demographic dividend,True
726,1992,5.37930366966089,CEB,Central Europe and the Baltics,True
728,1992,12.2946280991736,CSS,Caribbean small states,True
729,1992,63.9407887013287,AFE,Africa Eastern and Southern,True
734,1993,6.88176292261053,ARB,Arab World,True
739,1993,7.89678626065615,EUU,European Union,True
745,1993,87.5515390596414,HPC,Heavily indebted poor countries (HIPC),True
750,1993,29.3073690109274,OSS,Other small states,True
751,1993,47.6801075268817,PSS,Pacific island small states,True
752,1993,78.4579539197218,PRE,Pre-demographic dividend,True
754,1993,26.7999609069586,SST,Small states,True
763,1993,64.6519649122807,AFE,Africa Eastern and Southern,True
770,1993,7.19209000591033,CEB,Central Europe and the Baltics,True
775,1993,72.973559128037,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
777,1993,72.973559128037,SSF,Sub-Saharan Africa,True
780,1993,33.2724459672308,MIC,Middle income,True
786,1993,17.2074395489013,WLD,World,True
789,1993,6.25577051874498,NAC,North America,True
793,1993,15.0227413292101,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
797,1993,33.9949226983813,EAR,Early-demographic dividend,True
806,1993,15.0061303859724,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
813,1993,10.7492804743053,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
818,1993,24.7852675238187,EAS,East Asia & Pacific,True
846,1993,35.0093273861541,TEA,East Asia & Pacific (IDA & IBRD countries),True
847,1993,34.3544497702893,EAP,East Asia & Pacific (excluding high income),True
859,1993,86.7447862460972,LDC,Least developed countries: UN classification,True
866,1993,34.6636608545319,LMY,Low & middle income,True
871,1993,7.00983798246383,EMU,Euro area,True
876,1993,30.9743028581153,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
877,1993,31.1382505291514,LAC,Latin America & Caribbean (excluding high income),True
881,1993,20.551629115011,LTE,Late-demographic dividend,True
884,1993,6.62553578805038,ECS,Europe & Central Asia,True
891,1993,31.1011774075509,LCN,Latin America & Caribbean,True
896,1993,68.9369704699761,IDA,IDA total,True
912,1993,59.975270861053,IDB,IDA blend,True
917,1993,6.14972262075562,ECA,Europe & Central Asia (excluding high income),True
920,1993,79.1203545557254,IDX,IDA only,True
936,1993,5.05682908740215,TEC,Europe & Central Asia (IDA & IBRD countries),True
948,1993,22.9937230271798,IBD,IBRD only,True
956,1993,28.1286394893098,IBT,IDA & IBRD total,True
957,1993,7.39950792493411,OED,OECD members,True
959,1993,72.9851939347896,SSA,Sub-Saharan Africa (excluding high income),True
963,1993,12.5732765957447,CSS,Caribbean small states,True
965,1993,54.0745773556611,TSA,South Asia (IDA & IBRD),True
970,1993,54.0745773556611,SAS,South Asia,True
976,1993,6.50343586324313,PST,Post-demographic dividend,True
979,1993,85.1032323232323,AFW,Africa Western and Central,True
